cik,alpha,beta,ariMeanRt,geoMeanRt,cagr,sharpe,sortino,annVol,maxDD,annExcessReturn,TE,IR
1659997,-12.5,1.389,5.0,5.1,-0.4,0.096,0.187,31.2,-43.22,-8.1,11.2,-0.723
1802530,10.8,0.943,27.7,30.7,28.6,1.331,4.967,19.3,-9.67,9.9,5.9,1.678
1591590,-8.1,1.238,5.8,5.9,-0.5,0.111,0.18,34.1,-53.78,-5.8,14.3,-0.406
895213,21.6,1.081,34.9,39.8,8.7,0.277,1.954,118.9,-37.9,22.4,58.9,0.38
1167483,-1.2,1.984,21.6,23.5,8.6,0.396,0.668,49.6,-55.23,9.1,21.2,0.429
74260,5.1,0.733,15.5,16.5,13.1,0.539,1.012,25.1,-23.1,2.0,11.1,0.18
1665751,21.9,2.597,59.8,74.5,14.3,0.551,1.428,104.8,-74.66,43.9,48.4,0.907
1006364,-6.7,1.436,10.3,10.8,7.1,0.322,0.572,25.9,-30.64,-2.2,8.0,-0.275
1802961,-13.3,1.677,18.5,19.8,13.2,0.43,1.285,38.4,-20.08,-1.3,11.1,-0.117
1411784,-14.2,0.935,-1.3,-1.3,-4.2,-0.145,-0.1,23.1,-34.51,-14.9,9.0,-1.656
1088950,5.7,0.996,18.8,20.2,18.7,1.032,1.54,16.3,-19.4,5.7,3.4,1.676
1536444,-8.2,3.687,32.5,36.7,7.3,0.326,0.976,93.6,-58.06,20.0,42.8,0.467
